Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Tour misterios y leyendas de Sevilla,1776039717-18,Civitatis,28/02/2025,No especificado,No especificado,Viajó con hijos pequeños,Todo genial. Nuestra guía Laura fue fantástica explicando y contando todas las leyendas y curiosidades del Barrio de Santa Cruz. Para repetir sin dudarlo. Un 10. Gracias Laura!,España,Residente,Andalucía
Barrio Santa Cruz,1776039231-6,Civitatis,28/01/2025,No especificado,No especificado,Viajó en pareja,Un tour muy dinámico y bien explicado por un barrio precioso.,España,Residente,Islas Canarias
Isla Mágica,1775652240-9,TripAdvisor,8/8/2025,No especificado,25-Aug,No especificado,"Experiencia pirata no sirve solo es publicidad engañosa , una ESTAFA",España,Residente,Islas Canarias
Tour misterios y leyendas de Sevilla,1776039567-18,Civitatis,22/03/2026,No especificado,No especificado,Viajó con amigos,"Aprendimos muchas curiosidades, fue una visita muy entretenida con mucha participación de todos los asistentes. La guía genial",España,Residente,Castilla-La Mancha
Free tour por Sevilla,1775828897-13,Civitatis,21/02/2026,No especificado,No especificado,Viajó con amigos,"José es un tío excelente, muy recomendado. Para mí, lo mejor de Sevilla",España,Residente,Cataluña
Paseo por el río Guadalquivir en barco con comida,1775815503-5,Civitatis,15/04/2025,No especificado,No especificado,Viajó en pareja,"Todo fenomenal, tanto el paseo como la comida y la tripulación... 100/100
 Muy recomendable.",España,Residente,Galicia
Tour misterios y leyendas de Sevilla,1776039786-15,Civitatis,14/02/2026,No especificado,No especificado,Viajó en pareja,"Emilio es muy buen guía, preocupado por el bienestar de los turistas y muy agradable. Muy recomendable en todos los aspectos.",España,Residente,No especificado
Catedral de Sevilla,1776037931-10,Civitatis,21/06/2025,No especificado,No especificado,Viajó con amigos,"Nada más reservarlo a través de la web de civitatis y cobrarnos los 60€ de la visita. Desde la catedral de Sevilla nos informan que es imposible realizar el tour reservado ya que no hay huecos disponibles y que van a informar a civitatis para cancelarlo y que nos devuelvan el dinero.

Por lo tanto, no pudimos realizar la visita y tampoco se nos ha devuelto el importe de la misma (no siendo una cancelación por nuestra parte ni que no nos presentáramos a la visita)",España,Residente,No especificado
Paseo por el río Guadalquivir en barco con guía,1775815626-16,Civitatis,18/05/2025,No especificado,No especificado,No especificado,El guía era muy amable y te explica todo lo que veías con detalle. También algunas anécdotas divertidas.,España,Residente,Principado de Asturias
Archivo de Indias,1776038425-18,Civitatis,15/01/2026,No especificado,No especificado,Viajó en pareja,"Vistamos el Archivo de Indias de Sevilla con Rubén y muy completo. Una explicación muy rica, en un bonito edificio y que se nos pasó volando. Para repetir!",España,Residente,Andalucía
Paseo por el río Guadalquivir en barco con comida,1775815436-8,Civitatis,6/12/2025,No especificado,No especificado,Viajó con hijos mayores,Ruta muy bonita y recomendada,España,Residente,Castilla y León
Catedral de Sevilla,1776037977-6,Civitatis,5/3/2025,No especificado,No especificado,No especificado,"Manuel Miguel, encantador con infinidad de cosas distintas",España,Residente,Comunidad de Madrid
Catedral de Sevilla,1776037931-8,Civitatis,8/7/2025,No especificado,No especificado,Viajó en pareja,"Genial...... muy amable y profesional, gran trabajo con muchos conocimientos del lugar. Formidable",España,Residente,Comunidad de Madrid
Plaza de Toros,1775819009-1,Civitatis,28/03/2026,No especificado,No especificado,Viajó en pareja,"Excelente sin duda alguna, Maria es una guía encantadora y explica las cosas de maravilla. 100% recomendable.",España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1775612985-3,TripAdvisor,10/8/2025,Una maravilla,25-Aug,No especificado,Un lugar que toda persona que vaya a Sevilla debería visitar. Tengo la suerte de tenerlo cerca y lo visito cada vez que puedo,España,Residente,Andalucía
Isla Mágica,1775652229-10,TripAdvisor,18/08/2025,Excelente Limpieza y trato.,25-Aug,No especificado,"Visité Isla Mágica recientemente y mi experiencia fue bastante positiva. En primer lugar, quiero destacar la limpieza del parque, algo que me sorprendió gratamente. A diferencia de lo que había leído en algunas reseñas, sí está permitido entrar comida, lo cual facilita bastante la visita. Los precios en general son asequibles y razonables para un parque temático.

Sin embargo, hay algunos puntos que considero mejorables. En Agua Mágica resulta incoherente que, para entrar y salir, te pidan tanto la pulsera como la entrada, ya que la pulsera te la colocan al acceder y el número de taquilla solo aparece en un ticket de papel, el cual es inviable llevar encima si vas a bañarte. Además, en las atracciones de flotadores casi no hay disponibles de forma gratuita, lo que obliga prácticamente a alquilar uno por 18 € para evitar largas colas.

En resumen, es un parque muy disfrutable y bien cuidado, aunque ciertos detalles en la organización de Agua Mágica podrían mejorar la experiencia del visitante.",Francia,No especificado,No aplica
Free tour por Sevilla,1775828769-9,Civitatis,27/03/2026,No especificado,No especificado,Viajó con amigos,"Muy bien, nos encantó el guía José.",España,Residente,Islas Canarias
Setas de Sevilla,1775818716-3,Civitatis,30/08/2025,No especificado,No especificado,Viajó en pareja,"Compré entradas desde Argentina p senior y cuando llegué me dijeron q ese precio era para residentes…. Yo pagué con tarjeta de crédito argentina y no recuerdo q dijera q era p españoles…. En fin. 6 euros más ,….",Argentina,Extranjero,No aplica
Real Alcázar de Sevilla,1776038223-8,Civitatis,7/7/2025,No especificado,No especificado,Viajó solo,"Quería visitar el Alcazar de Sevilla, y cusl fué mi sorpresa cuando el guía me dice que sólo era yo, o sea una visita personalizada..
El guía Manuel, me lo explicó todo muy bien.
Recomendable al cien por cien…",España,Residente,Comunidad Valenciana
Barrio Santa Cruz,1776039064-10,Civitatis,13/10/2025,No especificado,No especificado,Viajó con amigos,Excelente Hugo,España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776039058-7,Civitatis,29/09/2025,No especificado,No especificado,Viajó solo,"El muchacho llegó sobre la hora (pidió disculpas y está bien). Pero lo que me frustró es la guiada en si. Poco entretenida, comenzaba a caminar sin decirnos, se movía demasiado en cada parada, a veces hablando mientras caminaba mirando hacia otro lado. Algunas anécdotas o relatos extraños, o sin mucho interés al contarlo.",España,Residente,Comunidad Valenciana
Catedral de Sevilla,1775612744-8,TripAdvisor,10/8/2025,terrible experiencia!,25-Aug,No especificado,"¡Trae algo para taparte! Aunque haga 57 grados, ni siquiera puedes usar una camiseta de tirantes de cuello alto y hombros anchos. Recomiendo traer algo para cubrirte los hombros, si no, te cobrarán 3 €. En la Catedral de Valencia no funciona así. Puedes entrar cuando quieras, y en otras iglesias, un paño para taparse es gratis. Se lucran con ello, sabiendo que con este calor la gente irá ligera de ropa. La catedral no tiene nada de especial; la de Valencia es mejor.",Francia,No especificado,No aplica
Archivo de Indias,1776038432-12,Civitatis,29/03/2025,No especificado,No especificado,Viajó con hijos mayores,"Es justo lo q estaba buscando. El guía conocía perfectamente el tema y disfrutaba contando la historia (se le notaba) lo cual hace q te sumerjas aún más en la experiencia. Ya no es sólo visitar el sitio.. es el contexto histórico y el pq ocurrieron las cosas así. Lo disfruté muchísimo y lo recomiendo a todos los q le guste la historia, especialmente el siglo XVI.",España,Residente,Extremadura
Real Alcázar de Sevilla,1776038189-6,Civitatis,8/11/2025,No especificado,No especificado,Viajó con amigos,La visita fue muy bien y muy entretenida. El guía Julian fue espectacular con sus explicaciones,España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828911-7,Civitatis,20/02/2026,No especificado,No especificado,Viajó con hijos mayores,Todo muy bien!,España,Residente,Galicia
Palacio de Las Dueñas,1775613239-2,TripAdvisor,16/08/2025,Prácticamente solo jardines,25-Aug,No especificado,"Arquitectónicamente merece mucho la pena. Sin embargo, se echa de menos poder visitar alguna estancia del Palacio. Prácticamente son sólo jardines y patios.",Francia,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039627-9,Civitatis,8/4/2026,No especificado,No especificado,Viajó solo,"Una guia muy agradable, entretenida. Te hace la visita (tour) muy amena. Realmente recomendable",España,Residente,País Vasco
Isla Mágica,1775652240-2,TripAdvisor,17/08/2025,Dia familiar en Isla Mágica,25-Aug,No especificado,"Dia familiar en Isla Mágica, ya sabia de antemano que nos esperaban 40 grados en el parque, nada que no conozcamos bien la gente de Sevilla pero entre las atracciones de agua y con tantas fuentes y servicios para irnos refrescando te dejan disfrutar del parque a tope (esperando la nueva montaña rusa de madera)",Francia,No especificado,No aplica
Free tour por Sevilla,1775828743-15,Civitatis,15/03/2025,No especificado,No especificado,Viajó en pareja,"Hemos tenido la oportunidad de realizar un Free Tour por Sevilla y fue una experiencia increíble. Nuestro guía, Aaron, fue súper agradable y ameno, haciendo que la visita fuera muy entretenida y educativa.
Aaron nos llevó a través de los lugares más emblemáticos de la ciudad, compartiendo historias fascinantes y detalles históricos que realmente enriquecieron nuestro conocimiento sobre Sevilla. Su pasión por la ciudad y su habilidad para contar historias hicieron que el tour fuera memorable.",España,Residente,Islas Baleares
Tour misterios y leyendas de Sevilla,1776039925-7,Civitatis,8/2/2025,No especificado,No especificado,Viajó con hijos pequeños,Ha sido muy entretenida y curiosa por los datos que ha dado Alberto.,España,Residente,País Vasco
Isla Mágica,1775652240-1,TripAdvisor,17/08/2025,Parque para niños y no sé como bien,25-Aug,No especificado,"Las atracciones son magnificas para los niños, es un parque que está pensado para niños y disfrutan un montón, la única pega y para mi es importante, es la comida, no se come nada bien, como en la mayoría de los parques de ocios, no sé porque pero en ninguno se come bien para mi opinión.",Francia,No especificado,No aplica
Paseo por el río Guadalquivir en barco con guía,1775815626-14,Civitatis,24/06/2025,No especificado,No especificado,Viajó con hijos pequeños,"Mario nos explicó todo muy bien, ameno y fue un viaje genial. El tiempo acompaño y disfrutamos del barco, las vistas y los comentarios",España,Residente,País Vasco
Tour misterios y leyendas de Sevilla,1776039567-15,Civitatis,24/03/2026,No especificado,No especificado,Viajó en pareja,David el guia muy muy majo y muy ameno.,España,Residente,No especificado
Barrio Santa Cruz,1776038983-4,Civitatis,16/01/2026,No especificado,No especificado,Viajó con amigos,"Un poco aburrida, demasiado teorico-historica. He ido a otras donde te lo cuentan con mas storytelling y es más divertida",España,Residente,Andalucía
"Tour por la Catedral, el Alcázar y la Giralda",1775828494-10,Civitatis,16/02/2026,No especificado,No especificado,Viajó en pareja,"Muy bien, el guía carlos estupendo!!, un amor de persona, nos encantó el alcazar y los mini exámenes que nos hacía carlos!!! Jajaja",España,Residente,No especificado
Free tour por Sevilla,1775829128-19,Civitatis,15/09/2025,No especificado,No especificado,Viajó con amigos,"La verdad es que ha sido bastante entretenida, con pinceladas de todo tipo y gracias al conocimiento y profesionalidad de Hugo! Muy interesante, amena y para repetir (el.tipo de tour y el guia, ya que se ve de primeras que tiene gran conocimiento de la historia.",No especificado,No especificado,No aplica
Archivo de Indias,1776038491-7,Civitatis,26/10/2025,No especificado,No especificado,Viajó en pareja,"Nuestra guía fue Melania de GuiArte y una maravilla, cercana, agradable, educada, comunicativa... todo lo que contó era muy interesante y lo transmitió con gracia pero sin perder el rigor, un 10.",España,Residente,Principado de Asturias
Free tour por Sevilla,1775829150-7,Civitatis,12/5/2025,No especificado,No especificado,Viajó en pareja,"Divertida, cultural, amena y con un guía, Aron, que me lo llevaría a cualquier parte. 
Ha sido una impresión de todos, no sólo mía. Así que gracias Aron por descubrir una Sevilla histórica con una gracia impresionante. Y por resumir en 3 minutos 3000 años.",No especificado,No especificado,No aplica
Barrio Triana,1776038701-4,Civitatis,22/03/2026,No especificado,No especificado,Viajó con amigos,"Estuvo genial ir por Triana, como Tomas vive y siente la historia de sevilla, lo explico fenomenal, súper cercano y con un entusiasmo brutal nos tuvo a todas enganchadas las dos horas. Zorionak Tomas",España,Residente,País Vasco
Free tour por Sevilla,1775829157-17,Civitatis,21/03/2025,No especificado,No especificado,Viajó en pareja,"La verdad que fue genial!

Olga, nuestra guía fue super amable y divertida. Nos iba preguntando para hacer la experiencia más dinámica y entretenida. Metía bromas de vez en cuando y explicaba todo de maravilla.

Un placer conocer Sevilla con ella.

Es cierto que se me hizo un poco corta la visita.",No especificado,No especificado,No aplica
Free tour por Sevilla,1775829121-16,Civitatis,30/10/2025,No especificado,No especificado,Viajó con hijos pequeños,"Hemos hecho el free tour por Sevilla y ha sido una experiencia genial. El guía Daniel Consiguió que las casi dos horas se pasaran volando, con explicaciones muy amenas, curiosidades históricas y un gran sentido del humor. Además, dio recomendaciones locales muy útiles para seguir explorando la ciudad por nuestra cuenta. ¡Totalmente recomendable!",No especificado,No especificado,No aplica
Espectáculo de flamenco Museo del Baile Flamenco,1775816964-15,Civitatis,1/5/2025,No especificado,No especificado,Viajó en pareja,El duende estaba alli,España,Residente,Andalucía
Real Alcázar de Sevilla,1776038121-12,Civitatis,7/11/2025,No especificado,No especificado,Viajó con hijos mayores,"Muy interesante. Nuestro guía nos ha permitido ver los Alcázares desde una perspectiva diferente. Cómo los acontecimientos históricos, los constructores y los reyes, han ido transformando los espacios y edificios para conseguir una amalgama que supone un deleite para nuestros ojos. Desde el conjunto al más mínimo detalle.",España,Residente,Aragón
Espectáculo de flamenco Teatro Sevilla,1775816745-19,Civitatis,16/03/2025,No especificado,No especificado,No especificado,"Flamenco de una hora de duración en un teatro, muy buen espectáculo.",España,Residente,Principado de Asturias
Palacio de Las Dueñas,1775826076-1,Civitatis,13/01/2026,No especificado,No especificado,Viajó en pareja,Fue muy entretenida e interesante. Además muy bien explicada por nuestro guía,España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775829065-3,Civitatis,31/03/2026,No especificado,No especificado,Viajó con hijos pequeños,"Nos encantó. El chico, Aron, fue super simpático, explico de manera detallada y muy amena todo, muchas curiosidades y pudimos conocer mucho mejor la historia de Sevilla.",España,Residente,Islas Canarias
Archivo de Indias,1776038401-9,Civitatis,28/03/2026,No especificado,No especificado,Viajó en pareja,Excelente guía q hizo q la visita fuera muy interesante,España,Residente,No especificado
Free tour por Sevilla,1775828733-15,Civitatis,15/02/2026,No especificado,No especificado,Viajó solo,"La guía ha sido maravillosa. Nos ha enseñado Sevilla y sus curiosidades. Una persona súper interesante e inteligente que sabía de lo que hablaba. Era rubia con un piercing en la nariz. Si tenéis la suerte de que os toque, lo disfrutaréis de verdad",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828580-19,Civitatis,4/3/2025,No especificado,No especificado,Viajó con hijos pequeños,"Julián, inmejorable. Como se nota cuando la gente disfruta su trabajo y hace que otros disfruten con él. A pesar de que la visita era larga, Julián consigue gracias a contactar e interactuar con su público, hacer bromas y dar datos interesantes que las horas pasan volando. Ha sido de los mejores guías turísticos con los que he compartido espacio cultural y además se nota de sobremanera su gran saber. Te cuenta la historia de una manera que te mantiene atento todo el rato. Recomendadisimo.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828545-3,Civitatis,3/1/2026,No especificado,No especificado,Viajó en pareja,"Experiencia muy buena.
La guía muy agradable.
Lo recomendaría sin ninguna duda",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828553-3,Civitatis,6/12/2025,No especificado,No especificado,No especificado,"Tres de los mayores monumentos de Sevilla, es un tour indispensable. Nuestro guía Iván un encanto, nos hizo el tour muy ameno (es largo en duración), dándonos todo lujo de detalles sobre los monumentos. Es un tour indispensable si visitas Sevilla. Aunque también tiene un pero, fuimos ahora en el puente de diciembre y cuando subimos a la Giralda (34 rampas y 17 escalones), una vez arriba estaba todo tan abarrotado que tampoco puedes disfrutar al máximo las vistas.",No especificado,No especificado,No aplica
Barrio Triana,1776038794-6,Civitatis,30/09/2025,No especificado,No especificado,Viajó en pareja,Laura ha sido una gran guía ha hecho el tour ameno y muy iteresante. En sus historias transmitía la ilusión y el orgullo por el barrio de Triana y la devoción por su cultura y sus costumbres. Nos llevamos un trocito de Triana al norte de España. Un saludo desde Vitoria,No especificado,No especificado,No aplica
Free tour por Sevilla,1775829106-16,Civitatis,27/12/2025,No especificado,No especificado,Viajó con hijos mayores,"Jose ha resultado un guía magnífico tanto por sus conocimientos como por la manera de contarlos. Divertido y ameno.
Ni la mala experiencia con unos clientes maleducados al principio del freetour que pretendían que infringiera la normativa han hecho que la visita resultara mal.
Hemos comido magníficamente en un restaurante que nos ha recomendado.",No especificado,No especificado,No aplica
Catedral de Sevilla,1775817908-8,Civitatis,9/9/2025,No especificado,No especificado,Viajó solo,"Muy bien. Ha sido interesante.

Reseña A33437311",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039880-12,Civitatis,6/7/2025,No especificado,No especificado,Viajó en pareja,"Alberto, el guía, es un gran divulgador. Hemos disfrutado de la experiencia.",España,Residente,País Vasco
Casa de Pilatos,1775826603-17,Civitatis,22/08/2025,No especificado,No especificado,Viajó en pareja,Julián nuestro guía nos puso al tanto de la historia de la casa sin él la visita hubiera sido poco interesante pues sin contexto histórico no deja de ser una casa bonita y poco más.,España,Residente,País Vasco
Setas de Sevilla,1775818327-19,Civitatis,20/08/2025,No especificado,No especificado,Viajó en pareja,Según me explicaron los nacionales españoles tenemos un descuento por lo que la segunda entrada hubiera salido gratis de haberla comprado directamente en taquilla o en la web oficial. Aquí en civitatis no me hicieron descuento ya pagué las dos entradas completas.,España,Residente,País Vasco
Tour misterios y leyendas de Sevilla,1776039872-6,Civitatis,19/08/2025,No especificado,No especificado,Viajó en pareja,Un paseó nocturno muy entretenido con nuestra simpática guía Ana Fer. Muchas gracias.,España,Residente,País Vasco
Paseo por el río Guadalquivir en barco con comida,1775815472-3,Civitatis,22/08/2025,No especificado,No especificado,Viajó en pareja,"Una bonita experiencia, poder navegar y ver los puentes tan de cerca su estructura. La compañía y la tripulación nos lo hicieron pasar muy bien.",España,Residente,País Vasco
Free tour por Sevilla,1775828897-14,Civitatis,21/02/2026,No especificado,No especificado,No especificado,Daniel hizo el tour muy ameno. Explicado muy bien y con muchas anécdotas.,España,Residente,No especificado
Barrio Triana,1776038724-8,Civitatis,23/02/2026,No especificado,No especificado,No especificado,José es muy buen guia . Hizo el tour muy ameno y todo muy bien explicado.,España,Residente,No especificado
"Tour por la Catedral, el Alcázar y la Giralda",1775828553-12,Civitatis,30/10/2025,No especificado,No especificado,Viajó en pareja,"El tour con que nos ha regalado Carmen ha sido impresionante, sus evidentes conocimientos, su facilidad para comunicar y su gran simpatía ha conseguido impregnarnos de Sevilla y de las sevillanas. 
Sin duda Gabriela y yo recomendamos esta experiencia. 

Gracias Carmen",No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1776038152-17,Civitatis,1/1/2026,No especificado,No especificado,Viajó en pareja,"Genial, muy interesante y expectacular , la guia Cristina un 10, gracias",España,Residente,Cataluña
Tour misterios y leyendas de Sevilla,1776039793-15,Civitatis,23/09/2025,No especificado,No especificado,Viajó solo,"El tour fue fantástico, muy entretenido y con muchas historias más desconocidas, lo que lo hace una opción estupenda para conocer Sevilla en profundidad. Nuestra guía fue carismática, amena y divertida, tuvo en cuanto las necesidades del grupo en todo momento, un 10",España,Residente,No especificado
Archivo de Indias,1776038432-17,Civitatis,13/11/2025,No especificado,No especificado,Viajó con hijos mayores,"Maleni es una guía excepcional que ha sabido hacer de la visita una experiencia interesantísima, haciendo un recorrido detallado de los diferentes usos que ha tenido el edificio a lo largo de los siglos, a la vez que iba recorriendo las diferentes estancias del mismo.",España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828951-7,Civitatis,13/02/2026,No especificado,No especificado,Viajó con hijos mayores,"La actividad estuvo genial, el guía Jesús nos explicó muy detalladamente todos los monumentos que vimos y se hizo muy amena la visita. Sin duda volveríamos a repetir",España,Residente,Comunidad de Madrid
Setas de Sevilla,1775818578-8,Civitatis,16/10/2025,No especificado,No especificado,Viajó en pareja,"¡No puedes visitar Sevilla sin probar las Setas! Merece la pena especialmente hacerlo por la noche, cuando la experiencia es inigualable. Es quizás una de las mejores sensaciones que me llevaré a casa, incluso mejor que la de los monumentos más famosos.",Italia,Extranjero,No aplica
Free tour por Sevilla,1775829020-1,Civitatis,23/01/2026,No especificado,No especificado,Viajó con amigos,"Tour Sevilla
																	Traducir la opinión a español",España,Residente,Castilla-La Mancha
Real Alcázar de Sevilla,1776038292-6,Civitatis,10/1/2025,No especificado,No especificado,Viajó con hijos mayores,"Tuvimos de guía a Ismael, excelente! Super dinámico y divertido. Gracias!",España,Residente,Comunidad Valenciana
Barrio Santa Cruz,1776039180-7,Civitatis,28/02/2025,No especificado,No especificado,Viajó con amigos,"Tour 100% recomendable. Marina es una excelente profesional. Nos ha dado información muy interesante, nos ha hecho una ruta muy completa.",España,Residente,Andalucía
Tour misterios y leyendas de Sevilla,1776039866-12,Civitatis,6/9/2025,No especificado,No especificado,Viajó en pareja,Carmen excelente y muy interesante lo que nos ha contado. Muy rexomendable.,España,Residente,Andalucía
Tour misterios y leyendas de Sevilla,1776039932-16,Civitatis,17/01/2025,No especificado,No especificado,Viajó con amigos,Fue genial. Emilio es un gran chaval,España,Residente,Andalucía
Free tour por Sevilla,1775828958-16,Civitatis,12/2/2026,No especificado,No especificado,Viajó con hijos mayores,Muy buena experencia,España,Residente,Aragón
Archivo de Indias,1776038555-11,Civitatis,2/3/2025,No especificado,No especificado,Viajó en pareja,"Puntual, entretenido, informativo.",España,Residente,Aragón
Tour misterios y leyendas de Sevilla,1776039932-9,Civitatis,23/01/2025,No especificado,No especificado,Viajó en pareja,"Emilio nos ha mostrado una Sevilla desde un punto de vista diferente. Visita entretenida y divertida. Muy agradable las dos horas que duró. 
5 estrellas",España,Residente,Castilla y León
Archivo de Indias,1776038516-15,Civitatis,11/7/2025,No especificado,No especificado,Viajó con hijos mayores,Sumamente instructiva. Una excelente elección poder disfrutar de este archivo.,España,Residente,Cataluña
Tour Estadio Ramón Sánchez Pizjuán,1775818203-2,Civitatis,26/06/2025,No especificado,No especificado,Viajó con hijos pequeños,"En general bien, pero antes de reservar podían avisar que havia un evento y no se podía ver los banquillos, túnel de salida al campo y el campo. O por lo menos haver echo un precio inferior para compensar.",España,Residente,Cataluña
Paseo por el río Guadalquivir en barco con comida,1775815481-15,Civitatis,28/06/2025,No especificado,No especificado,Viajó con hijos pequeños,Muy bien. Genial el trato. Por mejorar diría que alguna explicación por megafonia daría un plus a la actividad. Por todo lo demás muy bien todo. Recomendable,España,Residente,Cataluña
Tour misterios y leyendas de Sevilla,1776039705-5,Civitatis,22/06/2025,No especificado,No especificado,Viajó con amigos,Me gustaron mucho la calidad de las historias y el recorrido. Hacerlo de noche es una experiencia muy recomendable.,España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039919-2,Civitatis,2/3/2025,No especificado,No especificado,Viajó en pareja,Curioso y entretenido.,España,Residente,Extremadura
Paseo por el río Guadalquivir en barco ecológico,1775815757-11,Civitatis,7/6/2025,No especificado,No especificado,Viajó solo,Es buena aunque le falta algo de chispa poniendo más música y ambiente en el barco,España,Residente,Islas Baleares
Paseo por el río Guadalquivir en barco ecológico,1775815757-12,Civitatis,7/6/2025,No especificado,No especificado,Viajó solo,Es buena pero le falta más chispa dentro del barco más música y movido,España,Residente,Islas Baleares
Espectáculo de flamenco Museo del Baile Flamenco,1775816964-7,Civitatis,6/6/2025,No especificado,No especificado,Viajó con amigos,Esto sin duda es un gran espectáculo muy recomendado de verdad que la manera de cantar e interpretar es mágica,España,Residente,Islas Baleares
Setas de Sevilla,1775818565-8,Civitatis,12/11/2025,No especificado,No especificado,Viajó en pareja,Muy bonito.,Italia,Extranjero,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828563-15,Civitatis,20/08/2025,No especificado,No especificado,Viajó en pareja,"Es una visita obligada, el Alcázar y su arquitectura mudéjar me encantó, Daniel fue un guía estupendo y nos explicó las estancias que visitamos de una forma estupenda. La catedral es impresionante, la pena es que había muchas partes con andamios para su restauración y varias capillas cerradas al público. Sin duda el único pero de esta visita es no poder admirar de cerca y de frente el precioso retablo el mayor de la cristiandad,",No especificado,No especificado,No aplica
Barrio Triana,1776038794-9,Civitatis,21/08/2025,No especificado,No especificado,Viajó en pareja,"Hicimos el recorrido con Marta, super simpática, se esforzó mucho para que la escucháramos entre el ruido del tráfico y las obras. Nos ofreció una charla con muchos datos históricos y algunas anécdotas que nos situaban perfectamente en el contexto del barrio que estábamos visitando.",No especificado,No especificado,No aplica
Free tour por Sevilla,1775828733-18,Civitatis,24/01/2026,No especificado,No especificado,Viajó con amigos,"Hicimos un freetour por Sevilla con Víctor y la experiencia fue estupenda. Tiene un conocimiento amplísimo de la ciudad, pero lo mejor es cómo sabe transmitirlo: explica todo de forma clara, amena y muy fácil de entender. Además, fue muy agradable hacer la ruta con él, cercano y atento en todo momento. Sin duda, una visita muy recomendable.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828545-9,Civitatis,14/03/2025,No especificado,No especificado,No especificado,"Nuestra guía Manuela fue muy buena con sus explicaciones, el problema de la empresa que gestionaba ésta actividad es que a las media hora de comenzar uno de nuestros auriculares se estropeo y tuve que estar pegado a la guía toda la visita, creo que la guía debería llevar alguno de repuesto.",No especificado,No especificado,No aplica
Tour misterios y leyendas de Sevilla,1776039799-6,Civitatis,27/03/2025,No especificado,No especificado,Viajó con amigos,"Nuestra guía, Nieves, nos explicó varias leyendas que nos dejaron con ganas de más.
En nuestro viaje de vuelta a casa pensaremos cuáles eran verdad y cuáles siguen alimentado el misterio que rodea a esta extraordinaria ciudad.
Gracias Nieves !!!",No especificado,No especificado,No aplica
Paseo por el río Guadalquivir en barco con comida,1775815447-7,Civitatis,19/10/2025,No especificado,No especificado,No especificado,estuvo muy guay,España,Residente,No especificado
Museo de Bellas Artes,1775819389-3,Civitatis,28/01/2025,No especificado,No especificado,Viajó en pareja,Perfecta,España,Residente,Andalucía
Catedral de Sevilla,1776037925-10,Civitatis,10/10/2025,No especificado,No especificado,Viajó en pareja,Fue estupenda nos gustó mucho el guía muy amable nos lo explicó todo perfectamente fue un rato muy agradable gracias,España,Residente,Islas Canarias
Tour La Giralda y Torre de Oro,1775824452-18,Civitatis,6/12/2025,No especificado,No especificado,Viajó en pareja,Mariló nos hizo un recorrido espectacular lleno de historia imprescindible para entender porque Sevilla fue el centro del mundo de la aventura en los mejores años del imperio español,España,Residente,Andalucía
Archivo de Indias,1776038574-14,Civitatis,17/01/2025,No especificado,No especificado,Viajó en pareja,"Rubén, el guia es fantástico muy bien documentado y una exposición muy amena",España,Residente,Andalucía
Tour misterios y leyendas de Sevilla,1776039887-19,Civitatis,19/05/2025,No especificado,No especificado,Viajó en pareja,"Muy entretenida, visitando lugares curiosos de la cuidad..",España,Residente,Aragón
Free tour por Sevilla,1775828865-17,Civitatis,9/3/2026,No especificado,No especificado,Viajó en pareja,Excelentes las explicaciones de Marta,España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038152-14,Civitatis,2/1/2026,No especificado,No especificado,Viajó en pareja,"Nos tocó un guía joven y no conocía bien ni la historia del Alcázar ni la de Sevilla, la verdad que fue una decepción, mitad de las cosas que dijo no se corresponden con la historia real. Por otro lado, la visita fue corriendo y sin las suficientes explicaciones. Hay que hacer una visita acorde a la dimensión del monumento. En concreto el Alcázar no se puede explicar en apenas una hora y media.",España,Residente,No especificado
"Tour por la Catedral, el Alcázar y la Giralda",1775828487-19,Civitatis,18/02/2026,No especificado,No especificado,Viajó en pareja,Nuestra guía una gran profesional. Muchas gracias por todo.,España,Residente,País Vasco
Barrio Santa Cruz,1776039194-17,Civitatis,2/2/2025,No especificado,No especificado,Viajó con hijos mayores,"Muy buena experiencia con Marina, explicación muy detallada y entretenida",España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038121-4,Civitatis,6/1/2026,No especificado,No especificado,Viajó con hijos mayores,Bien con problemas tecnologicos para escuchar,España,Residente,No especificado
